image_id,gt_label,pseudo_label,pseudo_label_prob
21405,0,0,0.4901362955570221
36751,0,0,0.49738365411758423
72698,1,1,0.5249637961387634
4619,1,1,0.5025256276130676
46270,1,1,0.5026374459266663
81946,0,0,0.49951171875
64531,0,0,0.49516937136650085
98506,0,0,0.49636533856391907
42156,0,0,0.4990898370742798
35786,0,1,0.5051695704460144
54728,0,0,0.489854633808136
76489,0,0,0.48992398381233215
97804,0,1,0.5144221782684326
21804,0,0,0.4933406710624695
28974,1,1,0.5117688179016113
87639,0,1,0.5020673274993896
12839,0,1,0.5146527886390686
4976,0,1,0.5032525658607483
28319,0,1,0.5051959753036499
92835,1,0,0.48806288838386536
74915,0,0,0.47900670766830444
25901,1,1,0.5026161670684814
80259,1,1,0.522579550743103
2987,0,1,0.5021302103996277
37504,0,0,0.494243323802948
92581,0,1,0.5069719552993774
62904,0,0,0.4855403006076813
46017,0,0,0.49213486909866333
68327,1,1,0.5018465518951416
74589,1,0,0.4835251271724701
94278,0,0,0.4859679043292999
19408,0,0,0.4885547459125519
84653,1,1,0.5034437775611877
48932,0,0,0.49447357654571533
43608,1,0,0.48837360739707947
93126,0,0,0.4894255995750427
59824,1,1,0.5005698204040527
92481,1,1,0.5069196820259094
9315,0,0,0.47333982586860657
76491,0,0,0.49904292821884155
19763,1,1,0.5134990215301514
80593,0,1,0.5076698064804077
4986,0,1,0.5012674331665039
80742,1,1,0.505519449710846
45723,0,0,0.48166441917419434
35608,1,0,0.4971250891685486
13478,0,0,0.4948634207248688
27634,0,0,0.49990811944007874
29083,0,0,0.4991512894630432
13049,0,1,0.516460657119751
96423,0,1,0.5096304416656494
49150,1,0,0.4883628189563751
82651,1,0,0.4926448166370392
68719,0,0,0.4887058138847351
51964,1,1,0.5112960934638977
50738,1,0,0.49074599146842957
58421,0,1,0.5048964023590088
95783,1,0,0.48394647240638733
30871,1,1,0.5190799832344055
71390,0,0,0.49876803159713745
67259,1,1,0.527665376663208
64789,0,0,0.4987090826034546
23068,0,1,0.5009371042251587
65207,0,1,0.500849187374115
82549,0,0,0.49538490176200867
54629,0,1,0.5145484805107117
1974,1,0,0.49626046419143677
36945,0,1,0.5047582983970642
82593,1,1,0.5017406344413757
9217,0,0,0.48586365580558777
7248,1,1,0.5023297667503357
29714,1,1,0.5154916048049927
79205,0,0,0.4944235682487488
76581,1,0,0.49504512548446655
1842,0,0,0.49785110354423523
86934,1,1,0.5032950043678284
71823,0,0,0.48610720038414
43758,0,0,0.4809039831161499
81904,1,1,0.5103077292442322
31809,0,0,0.49974900484085083
46380,0,1,0.5139601826667786
54170,0,0,0.47857826948165894
7926,0,1,0.5158364176750183
83076,1,0,0.4917677640914917
20851,1,0,0.4906603991985321
30829,0,0,0.4892582595348358
12649,0,1,0.5022205114364624
12936,1,1,0.5054211020469666
20318,0,0,0.49417856335639954
9248,0,0,0.4891858696937561
48309,0,1,0.5017294883728027
52780,0,1,0.5036283731460571
18679,1,1,0.5320077538490295
14283,0,1,0.5020233392715454
61289,0,0,0.48282814025878906
48391,0,1,0.509978711605072
90345,0,1,0.5001754760742188
86159,1,0,0.4961916506290436
38706,0,1,0.5009701251983643
21583,0,0,0.49603989720344543
75921,0,1,0.5034838318824768
10948,1,1,0.5012378692626953
51367,1,0,0.4901435077190399
57284,0,0,0.4967271089553833
59034,0,0,0.4923864006996155
25093,0,1,0.5037468671798706
90378,0,0,0.4932548701763153
10725,0,0,0.4921165108680725
27416,1,0,0.49782663583755493
79451,1,0,0.486875057220459
92734,0,1,0.5001662373542786
46182,0,0,0.4954039752483368
28507,1,0,0.481519877910614
52936,0,1,0.5050374865531921
56497,0,0,0.4878598749637604
59380,0,1,0.5027051568031311
80925,0,1,0.5061917901039124
72634,0,0,0.49213358759880066
83061,0,0,0.48902958631515503
23074,0,1,0.5049763917922974
19742,1,1,0.5056079626083374
71849,1,0,0.47502127289772034
51349,0,0,0.4856768250465393
20183,1,0,0.4929461181163788
16298,0,1,0.5041227340698242
80152,0,1,0.5015878677368164
84593,0,0,0.495320200920105
7592,0,0,0.49660083651542664
12958,1,0,0.49963662028312683
15236,0,1,0.5022029280662537
91563,0,0,0.4859033226966858
32798,0,0,0.4964829087257385
25904,0,1,0.5135273337364197
56942,0,0,0.4989722669124603
27854,0,1,0.5005449056625366
63548,0,0,0.4954935610294342
38697,0,1,0.5098574161529541
37859,1,1,0.5067088603973389
2917,1,1,0.5140227675437927
3759,0,0,0.49803945422172546
19543,1,1,0.5351237654685974
59048,0,0,0.49776118993759155
34728,0,0,0.48806822299957275
78619,0,0,0.4906924366950989
18029,0,1,0.502851665019989
2945,1,0,0.44465014338493347
64720,1,0,0.49871668219566345
37184,0,1,0.5323169231414795
34021,1,0,0.48116248846054077
72936,1,0,0.49944642186164856
84265,1,1,0.5097096562385559
28695,1,1,0.511792004108429
43658,0,0,0.4945389926433563
80769,0,0,0.49659135937690735
43096,0,0,0.4957523047924042
47629,1,1,0.5047301054000854
41538,1,0,0.49460408091545105
4786,1,0,0.49659281969070435
75021,1,0,0.4438413977622986
80241,0,0,0.49955716729164124
4356,0,1,0.5162402391433716
50964,0,0,0.48860543966293335
82941,0,1,0.5102134943008423
84061,0,0,0.4860057532787323
38609,0,1,0.5031885504722595
46938,0,0,0.47806301712989807
86914,1,1,0.5098555684089661
92187,0,0,0.4851321280002594
79032,1,1,0.5094527006149292
85097,1,1,0.5138145685195923
49861,1,1,0.5142629742622375
34620,1,1,0.5156804323196411
60357,1,1,0.5206266045570374
68901,0,0,0.4960104525089264
86045,1,0,0.4865899384021759
39704,0,1,0.505565345287323
24860,1,1,0.5167271494865417
5741,0,0,0.4543913006782532
64532,1,0,0.48976239562034607
12094,0,0,0.49158379435539246
59237,0,0,0.4989610016345978
7582,0,0,0.49310874938964844
94205,0,1,0.5116790533065796
17430,1,0,0.4833377003669739
9465,1,1,0.5096057653427124
52034,0,0,0.4822688102722168
98734,1,1,0.5198585391044617
94725,0,1,0.5004096031188965
91356,1,1,0.5162198543548584
40826,0,1,0.505726158618927
87260,0,0,0.4912149906158447
39765,0,0,0.48834028840065
95376,1,1,0.5081859230995178
45197,0,0,0.49698519706726074
83095,1,0,0.4827815890312195
27461,1,1,0.5189914107322693
35740,0,0,0.490419864654541
74901,0,1,0.5018095970153809
93152,0,0,0.4856315553188324
34671,0,1,0.5000683069229126
98571,0,1,0.5254862308502197
20195,1,0,0.49956610798835754
5813,0,1,0.5153484344482422
43185,0,0,0.4914897680282593
5148,1,1,0.5089201331138611
68941,0,1,0.5097968578338623
65931,0,1,0.5192230939865112
17948,1,1,0.5093536972999573
31029,0,1,0.5039657354354858
91052,1,0,0.4929088056087494
57490,0,0,0.4910227954387665
76924,0,0,0.4842449426651001
81294,1,1,0.5148112177848816
47569,1,0,0.492035835981369
75209,1,1,0.5016178488731384
82603,1,0,0.49125605821609497
61527,0,0,0.4975930154323578
91845,0,1,0.5038316249847412
56128,1,0,0.4902748763561249
24395,1,1,0.5021031498908997
18236,0,1,0.5139563679695129
42056,1,1,0.5022974610328674
74890,1,1,0.5020911693572998
40759,0,1,0.5131440758705139
51476,1,1,0.508780300617218
86071,1,1,0.5046144127845764
41037,1,0,0.49429014325141907
17965,0,0,0.49349257349967957
64870,1,1,0.5065032243728638
76285,1,0,0.49074462056159973
5672,0,0,0.48607614636421204
57926,0,0,0.4820241332054138
95064,0,0,0.49641305208206177
87409,1,0,0.4914945662021637
84629,0,0,0.48752927780151367
13986,0,0,0.48624172806739807
72964,0,0,0.4998719394207001
73205,0,0,0.48234739899635315
28610,1,0,0.49113887548446655
67312,0,0,0.4966792166233063
17536,0,0,0.4906378388404846
43190,0,0,0.4855838119983673
47518,1,0,0.4909602701663971
92768,1,0,0.49668580293655396
45208,0,0,0.48601651191711426
7916,0,1,0.5033318400382996
41869,1,0,0.48718032240867615
18052,0,0,0.47695836424827576
3296,0,0,0.4960675835609436
3268,0,0,0.49370482563972473
46238,0,0,0.48775655031204224
40716,0,1,0.5018944144248962
74061,1,1,0.5025982856750488
51387,1,0,0.4899303615093231
30527,1,0,0.4855711758136749
78345,0,0,0.4880080223083496
85132,0,1,0.5017791986465454
35048,1,0,0.4927675724029541
65741,1,0,0.4443715512752533
52761,0,1,0.50750732421875
47531,0,0,0.488287091255188
58476,0,1,0.5045129060745239
97805,0,1,0.5156490802764893
89245,1,0,0.49149221181869507
4918,0,0,0.493850439786911
71086,0,0,0.487233966588974
84620,1,1,0.5000605583190918
70562,0,0,0.4961778521537781
60134,1,1,0.5181065201759338
